Flight_ID,Airline,Departure_Airport,Arrival_Airport,Flight_Date,Scheduled_Departure_Time,Actual_Departure_Delay_Min,Scheduled_Arrival_Time,Arrival_Delay_Min,Flight_Duration_Min,Distance_KM,Weather_Condition,Delay_Reason,Gate_Number,Terminal,Passenger_Count,Day_of_Week,Month,On_Time_Status
FL1013,IndiGo,BLR,SIN,07-10-2024,09:24:30,39,12:54:11,49,267,637,Fog,Crew Issue,G47,T2,102,Monday,April,Delayed
FL1014,Emirates,CCU,BOM,12-06-2025,05:16:07,23,03:50:22,38,276,679,Storm,Crew Issue,G45,T3,90,Thursday,March,Delayed
FL1015,Air India,HYD,BOM,23-07-2025,05:06:56,156,18:19:38,160,124,2868,Cloudy,Security,G24,T2,178,Saturday,October,Delayed
FL1016,Vistara,DXB,HYD,21-08-2025,21:54:15,135,16:51:24,148,122,691,Fog,Technical,G35,T1,338,Friday,August,Delayed
FL1017,IndiGo,BOM,SIN,27-11-2024,03:52:03,122,13:01:05,116,290,3399,Clear,Technical,G7,T3,250,Tuesday,November,Delayed
FL1018,IndiGo,DXB,HYD,24-05-2024,19:47:26,71,16:17:57,72,92,4898,Storm,Crew Issue,G23,T3,111,Thursday,September,Delayed
FL1019,Qatar Airways,HYD,CCU,26-02-2025,13:13:42,36,21:17:33,60,231,3073,Clear,Late Aircraft,G27,T3,84,Monday,November,Delayed
FL1020,Emirates,HYD,SIN,14-10-2025,22:06:20,100,18:51:43,136,190,4140,Fog,Weather,G5,T2,267,Thursday,March,Delayed
FL1021,Emirates,SIN,DEL,15-05-2025,03:12:55,141,09:04:17,169,342,4788,Fog,Security,G15,T1,64,Friday,February,Delayed
FL1022,Emirates,HYD,SIN,31-05-2024,16:30:31,89,13:24:00,120,238,1163,Cloudy,Security,G39,T1,290,Tuesday,June,Delayed
FL1023,Qatar Airways,MAA,CCU,28-09-2025,22:19:22,51,15:50:23,72,281,1978,Cloudy,Weather,G43,T3,78,Wednesday,August,Delayed
FL1024,SpiceJet,DEL,BOM,02-07-2025,22:35:53,35,20:25:29,37,219,2022,Fog,Technical,G22,T1,333,Tuesday,October,Delayed
FL1025,Emirates,BOM,DEL,14-01-2026,11:38:38,65,10:09:05,96,104,1897,Storm,Weather,G6,T3,333,Sunday,March,Delayed
FL1026,Vistara,MAA,DXB,09-05-2024,09:27:26,27,13:43:29,60,103,1663,Cloudy,Technical,G30,T2,177,Friday,October,Delayed
FL1027,Akasa Air,DXB,BOM,12-12-2024,14:49:20,91,21:51:51,105,290,2537,Rain,Late Aircraft,G33,T2,332,Thursday,November,Delayed
FL1028,Akasa Air,CCU,BLR,31-01-2026,21:13:52,120,16:54:53,122,292,1582,Storm,Weather,G39,T1,247,Tuesday,February,Delayed
FL1029,Akasa Air,CCU,DEL,16-09-2024,07:35:26,154,15:13:13,152,224,963,Cloudy,Technical,G15,T3,209,Tuesday,January,Delayed
FL1030,Emirates,BOM,DXB,07-03-2026,10:12:25,95,12:39:01,108,292,4063,Clear,Technical,G49,T1,101,Monday,June,Delayed
FL1031,Air India,BOM,CCU,03-10-2024,17:42:00,11,22:08:04,39,172,1936,Fog,Late Aircraft,G49,T2,130,Tuesday,September,On-Time
FL1032,Akasa Air,MAA,DXB,25-10-2024,08:48:09,112,21:26:08,103,189,1154,Cloudy,Crew Issue,G37,T1,273,Sunday,August,Delayed
FL1033,IndiGo,DXB,BOM,28-11-2025,12:52:45,128,06:22:49,136,185,2007,Clear,Late Aircraft,G26,T2,209,Wednesday,July,Delayed
FL1034,Qatar Airways,DXB,BLR,02-01-2025,14:36:19,159,03:14:01,152,262,3555,Clear,Late Aircraft,G17,T3,304,Saturday,February,Delayed
FL1035,Emirates,DEL,HYD,29-11-2025,05:07:52,37,12:56:24,50,157,497,Fog,Weather,G22,T1,289,Tuesday,April,Delayed
FL1036,Vistara,SIN,BOM,26-02-2025,05:31:23,143,22:08:59,165,260,1447,Rain,Air Traffic,G6,T2,308,Tuesday,February,Delayed
FL1037,Qatar Airways,SIN,DXB,21-06-2024,07:42:49,147,05:09:08,172,206,3519,Cloudy,Weather,G32,T1,248,Saturday,September,Delayed
FL1038,Qatar Airways,DEL,BOM,20-04-2026,22:26:57,51,22:13:21,81,187,2685,Rain,Technical,G40,T2,178,Thursday,August,Delayed
FL1039,Vistara,BLR,SIN,18-06-2025,13:36:26,10,09:26:35,27,210,4361,Clear,Technical,G42,T2,148,Monday,July,On-Time
FL1040,Qatar Airways,HYD,SIN,13-11-2025,16:17:51,6,17:38:19,11,171,1316,Storm,Air Traffic,G49,T2,51,Saturday,December,On-Time
FL1041,Air India,SIN,BOM,17-11-2024,23:55:01,128,22:47:12,165,313,4023,Fog,Technical,G5,T1,86,Friday,December,Delayed
FL1042,SpiceJet,DEL,DXB,26-12-2025,22:26:00,159,01:29:07,157,292,3470,Clear,Weather,G19,T3,257,Thursday,September,Delayed
FL1043,Akasa Air,MAA,DEL,06-07-2025,06:41:07,130,22:32:28,139,211,3491,Clear,Technical,G33,T1,165,Friday,February,Delayed
FL1044,IndiGo,BLR,HYD,02-01-2026,00:12:50,74,09:26:30,112,163,4223,Cloudy,Technical,G35,T3,161,Friday,January,Delayed
FL1045,Emirates,BOM,HYD,04-05-2025,14:26:42,98,22:01:03,112,253,3169,Cloudy,Security,G35,T3,257,Wednesday,May,Delayed
FL1046,Emirates,BLR,DXB,30-01-2026,17:07:59,168,08:15:44,193,220,4793,Fog,Technical,G21,T2,184,Thursday,March,Delayed
FL1047,SpiceJet,HYD,BLR,22-06-2024,21:05:27,144,03:58:42,166,235,4855,Clear,Weather,G22,T2,71,Friday,October,Delayed
FL1048,Akasa Air,BOM,DEL,13-05-2025,15:37:08,157,00:45:18,184,289,3736,Rain,Security,G8,T2,332,Tuesday,June,Delayed
FL1049,SpiceJet,BOM,MAA,07-10-2025,03:10:36,26,10:48:34,49,336,1259,Fog,Technical,G33,T2,196,Sunday,September,Delayed
FL1050,Qatar Airways,HYD,CCU,29-05-2024,23:32:51,3,02:58:36,27,251,3420,Cloudy,Weather,G17,T3,221,Sunday,September,On-Time
FL1051,IndiGo,HYD,DXB,13-10-2024,17:42:29,157,11:01:44,175,105,3744,Rain,Air Traffic,G6,T1,148,Monday,December,Delayed
FL1052,SpiceJet,MAA,BLR,10-10-2025,19:54:08,123,15:38:59,153,96,2627,Cloudy,Technical,G29,T3,230,Wednesday,April,Delayed
FL1053,Vistara,HYD,CCU,11-05-2025,21:35:23,94,06:36:45,118,247,1439,Fog,Weather,G21,T1,210,Saturday,July,Delayed
FL1054,IndiGo,HYD,DEL,26-11-2024,05:36:57,66,13:52:44,73,340,869,Fog,Technical,G3,T3,223,Wednesday,March,Delayed
FL1055,Emirates,SIN,HYD,26-07-2025,03:27:32,23,10:39:20,62,347,4314,Storm,Security,G22,T1,200,Monday,February,Delayed
FL1056,IndiGo,MAA,CCU,29-05-2025,08:12:24,126,23:46:36,142,332,3475,Fog,Security,G33,T3,348,Tuesday,July,Delayed
FL1057,SpiceJet,MAA,DEL,19-06-2024,02:25:48,175,10:38:22,203,229,3106,Fog,Weather,G26,T2,62,Tuesday,November,Delayed
FL1058,IndiGo,BLR,DXB,13-07-2024,17:55:00,59,23:38:03,55,95,4415,Fog,Security,G1,T2,313,Friday,December,Delayed
FL1059,Qatar Airways,MAA,BOM,18-09-2024,13:41:50,143,07:29:29,146,202,3074,Rain,Technical,G22,T2,100,Monday,March,Delayed
FL1060,Vistara,CCU,SIN,29-01-2025,02:33:05,152,05:44:50,163,117,2015,Rain,Air Traffic,G42,T1,320,Sunday,December,Delayed
FL1061,Qatar Airways,BOM,HYD,09-04-2026,05:29:16,53,12:19:55,85,160,3424,Clear,Crew Issue,G44,T1,157,Tuesday,August,Delayed
FL1062,Qatar Airways,CCU,MAA,29-05-2025,15:19:51,4,13:56:47,32,255,1176,Rain,Technical,G32,T1,96,Saturday,April,On-Time
FL1063,SpiceJet,DXB,MAA,13-08-2025,02:55:18,98,10:05:57,127,203,4664,Clear,Air Traffic,G42,T2,207,Saturday,September,Delayed
FL1064,Qatar Airways,DXB,CCU,26-12-2024,05:54:33,146,09:47:53,152,179,1130,Cloudy,Air Traffic,G19,T1,141,Monday,May,Delayed
FL1065,SpiceJet,MAA,CCU,11-02-2026,05:10:50,57,20:51:27,72,288,416,Clear,Weather,G23,T3,176,Thursday,June,Delayed
FL1066,Akasa Air,CCU,BLR,05-09-2024,10:31:39,136,22:45:50,137,188,1381,Cloudy,Weather,G1,T2,288,Friday,April,Delayed
FL1067,Emirates,HYD,DEL,13-04-2025,03:50:37,33,06:32:53,54,185,859,Storm,Weather,G25,T3,286,Sunday,September,Delayed
FL1068,Vistara,BLR,MAA,27-02-2025,09:50:12,116,17:27:27,106,331,4370,Clear,Late Aircraft,G5,T2,327,Friday,June,Delayed
FL1069,SpiceJet,BOM,DXB,05-09-2024,16:42:11,92,08:25:58,84,135,4549,Cloudy,Air Traffic,G16,T3,135,Thursday,June,Delayed
FL1070,SpiceJet,DXB,CCU,25-11-2025,11:24:29,28,21:04:16,31,279,3418,Cloudy,Technical,G49,T1,143,Thursday,November,Delayed
FL1071,Emirates,DXB,CCU,15-08-2025,14:49:23,143,14:45:39,158,98,1935,Rain,Security,G33,T3,303,Wednesday,July,Delayed
FL1072,SpiceJet,DEL,BLR,06-08-2024,15:12:23,100,01:02:40,112,309,3149,Rain,Crew Issue,G31,T3,299,Friday,November,Delayed
FL1073,Vistara,CCU,BLR,16-09-2025,09:52:13,146,14:21:21,167,316,1315,Storm,Late Aircraft,G5,T1,53,Friday,August,Delayed
FL1074,IndiGo,MAA,DXB,30-04-2025,08:19:57,15,21:28:57,28,306,4892,Fog,Security,G28,T3,209,Saturday,October,On-Time
FL1075,Qatar Airways,CCU,DEL,08-08-2025,01:38:43,83,19:31:48,96,237,4046,Rain,Late Aircraft,G33,T2,228,Tuesday,April,Delayed
FL1076,IndiGo,MAA,DEL,12-02-2026,11:02:04,170,10:29:21,196,327,4213,Rain,Crew Issue,G43,T3,93,Sunday,February,Delayed
FL1077,Emirates,SIN,BLR,25-03-2026,12:51:03,28,09:43:07,30,71,3673,Cloudy,Technical,G2,T3,302,Saturday,July,Delayed
FL1078,Air India,SIN,BLR,23-06-2024,18:43:08,34,04:45:38,46,149,1075,Rain,Late Aircraft,G29,T3,139,Monday,February,Delayed
FL1079,Air India,DXB,BOM,25-11-2025,02:19:02,161,05:13:24,191,255,1125,Cloudy,Crew Issue,G45,T1,124,Friday,April,Delayed
FL1080,Air India,BOM,HYD,07-03-2026,12:51:16,156,01:11:37,181,276,3648,Storm,Late Aircraft,G36,T3,241,Friday,October,Delayed
FL1081,Vistara,CCU,SIN,20-09-2024,10:07:58,176,12:18:33,200,95,2443,Cloudy,Late Aircraft,G24,T3,200,Thursday,September,Delayed
FL1082,Emirates,SIN,BOM,28-09-2025,20:58:23,36,21:05:11,37,242,2626,Storm,Crew Issue,G25,T2,335,Sunday,April,Delayed
FL1083,Qatar Airways,HYD,SIN,26-07-2025,00:06:52,16,21:36:35,54,121,895,Cloudy,Crew Issue,G48,T3,266,Tuesday,May,Delayed
FL1084,Emirates,SIN,DEL,09-11-2025,00:08:42,85,20:32:59,87,246,695,Fog,Technical,G41,T2,125,Wednesday,June,Delayed
FL1085,Air India,BOM,MAA,26-07-2025,18:56:22,8,05:18:49,4,343,1017,Rain,Crew Issue,G31,T3,101,Tuesday,December,On-Time
FL1086,Vistara,BLR,DEL,01-09-2024,01:01:54,82,06:41:24,118,203,3440,Storm,Air Traffic,G35,T3,74,Thursday,July,Delayed
FL1087,Qatar Airways,DEL,MAA,03-07-2024,14:03:05,179,18:46:45,189,112,3522,Storm,Crew Issue,G16,T3,106,Saturday,January,Delayed
FL1088,IndiGo,DXB,BLR,30-03-2026,00:16:17,38,14:23:33,72,240,3282,Fog,Air Traffic,G14,T2,272,Sunday,July,Delayed
FL1089,Air India,BLR,HYD,14-09-2024,10:35:56,121,11:15:55,115,222,1032,Fog,Crew Issue,G43,T2,195,Monday,July,Delayed
FL1090,Emirates,CCU,DXB,27-12-2025,00:10:56,75,11:48:49,73,133,1253,Storm,Late Aircraft,G44,T1,302,Sunday,August,Delayed
FL1091,Akasa Air,MAA,CCU,10-07-2025,08:57:57,6,22:52:35,41,200,1491,Clear,Crew Issue,G42,T3,332,Friday,November,On-Time
FL1092,Emirates,DEL,BOM,24-02-2026,07:47:41,121,14:14:34,112,64,3536,Storm,Technical,G38,T2,185,Tuesday,January,Delayed
FL1093,SpiceJet,HYD,BLR,28-08-2024,11:19:12,108,13:21:41,98,204,810,Rain,Crew Issue,G7,T2,266,Wednesday,July,Delayed
FL1094,Qatar Airways,HYD,SIN,20-07-2024,10:40:32,44,18:02:16,37,351,3441,Storm,Air Traffic,G31,T1,324,Thursday,January,Delayed
FL1095,Air India,DEL,BLR,05-06-2025,05:12:53,107,05:38:39,135,150,1013,Clear,Late Aircraft,G26,T1,68,Sunday,January,Delayed
FL1096,Qatar Airways,BLR,BOM,13-08-2024,07:21:58,38,22:08:14,30,232,1543,Clear,Security,G20,T1,50,Tuesday,March,Delayed
FL1097,IndiGo,SIN,CCU,15-02-2025,18:19:11,130,10:37:54,132,249,804,Cloudy,Technical,G49,T2,166,Saturday,May,Delayed
FL1098,Akasa Air,CCU,BOM,09-05-2025,05:10:05,133,04:49:56,166,232,2152,Cloudy,Late Aircraft,G47,T3,198,Monday,March,Delayed
FL1099,Akasa Air,HYD,DEL,06-03-2025,06:47:00,79,01:29:11,89,262,3111,Clear,Air Traffic,G37,T3,213,Saturday,July,Delayed
FL1100,Air India,DXB,CCU,29-08-2024,03:13:14,146,04:05:20,155,106,1556,Clear,Security,G49,T3,63,Sunday,November,Delayed
FL1101,Emirates,BLR,DEL,21-01-2026,07:21:50,142,14:09:38,162,60,1696,Fog,Late Aircraft,G3,T3,193,Sunday,February,Delayed
FL1102,Akasa Air,DEL,BLR,11-01-2026,05:17:57,11,14:17:08,10,283,3131,Storm,Late Aircraft,G8,T2,205,Monday,September,On-Time
FL1103,Qatar Airways,CCU,DEL,24-06-2024,01:05:14,116,02:13:33,113,181,4485,Storm,Crew Issue,G8,T1,235,Thursday,June,Delayed
FL1104,Air India,SIN,CCU,19-06-2025,18:00:07,59,12:07:20,98,87,3079,Storm,Technical,G37,T3,90,Friday,November,Delayed
FL1105,Qatar Airways,HYD,CCU,10-01-2026,14:10:24,154,10:50:08,160,260,2808,Cloudy,Crew Issue,G28,T2,289,Thursday,December,Delayed
FL1106,Qatar Airways,HYD,MAA,27-11-2024,09:44:07,156,22:41:05,158,105,3624,Rain,Weather,G6,T2,131,Thursday,April,Delayed
FL1107,Akasa Air,SIN,HYD,09-01-2025,22:22:05,114,09:28:50,108,69,3171,Storm,Air Traffic,G30,T1,291,Thursday,June,Delayed
FL1108,Air India,MAA,HYD,16-02-2026,17:40:55,108,21:32:34,102,178,1315,Fog,Air Traffic,G33,T2,114,Wednesday,October,Delayed
FL1109,IndiGo,HYD,CCU,10-03-2026,18:46:35,145,02:27:36,166,298,4458,Cloudy,Technical,G25,T1,332,Tuesday,December,Delayed
FL1110,Akasa Air,DXB,BLR,27-12-2025,09:36:37,176,11:20:12,178,157,2452,Rain,Late Aircraft,G35,T2,55,Saturday,December,Delayed
FL1111,Qatar Airways,SIN,BLR,23-02-2025,09:37:33,94,23:12:31,88,318,1760,Clear,Weather,G23,T2,102,Tuesday,July,Delayed
FL1112,Emirates,BLR,MAA,03-09-2025,03:22:14,164,18:34:32,163,142,2348,Cloudy,Air Traffic,G45,T2,254,Friday,September,Delayed
FL1113,Emirates,CCU,BLR,25-08-2024,15:09:52,3,13:28:38,0,347,2381,Cloudy,Air Traffic,G28,T2,144,Saturday,August,On-Time
FL1114,SpiceJet,HYD,MAA,02-07-2025,06:38:31,71,18:14:20,99,213,549,Rain,Weather,G34,T3,167,Tuesday,June,Delayed
FL1115,Akasa Air,BOM,DXB,12-12-2025,15:05:36,2,08:06:01,41,327,2284,Rain,Technical,G44,T1,271,Saturday,August,On-Time
FL1116,Akasa Air,HYD,DXB,10-01-2025,06:28:56,56,04:56:58,62,171,3114,Cloudy,Security,G47,T2,256,Monday,April,Delayed
FL1117,SpiceJet,HYD,BOM,02-08-2025,03:24:18,84,11:55:36,87,125,2422,Rain,Air Traffic,G39,T1,241,Saturday,September,Delayed
FL1118,IndiGo,MAA,BLR,26-08-2024,05:36:28,37,13:18:38,76,157,1658,Clear,Security,G27,T2,298,Saturday,March,Delayed
FL1119,Qatar Airways,SIN,DEL,07-11-2024,23:14:52,165,18:55:37,187,89,3477,Clear,Security,G17,T2,182,Thursday,August,Delayed
FL1120,Air India,SIN,MAA,01-05-2025,09:21:14,28,05:54:29,21,197,3772,Clear,Air Traffic,G10,T2,322,Monday,February,Delayed
FL1121,IndiGo,DXB,BLR,06-06-2024,07:21:19,83,05:29:37,96,128,2893,Cloudy,Late Aircraft,G6,T3,102,Monday,March,Delayed
FL1122,Akasa Air,MAA,SIN,11-05-2025,08:05:40,125,15:47:36,157,102,4123,Fog,Weather,G11,T1,160,Monday,September,Delayed
FL1123,Akasa Air,DXB,HYD,21-11-2025,22:55:57,150,07:01:13,155,154,3745,Cloudy,Technical,G16,T3,57,Thursday,August,Delayed
FL1124,Qatar Airways,SIN,MAA,09-05-2024,08:14:03,131,18:54:12,160,243,580,Cloudy,Crew Issue,G3,T2,244,Friday,October,Delayed
FL1125,Emirates,DEL,CCU,24-10-2025,04:09:18,154,18:41:37,172,219,2269,Clear,Technical,G19,T3,326,Tuesday,May,Delayed
FL1126,Air India,BOM,MAA,24-04-2026,01:29:16,4,08:45:12,11,151,4200,Rain,Security,G22,T1,50,Tuesday,January,On-Time
FL1127,Emirates,DXB,BLR,15-11-2025,08:25:03,132,23:20:49,162,71,2693,Cloudy,Crew Issue,G46,T2,83,Monday,April,Delayed
FL1128,SpiceJet,HYD,DXB,22-10-2025,23:45:17,176,01:38:30,179,277,2596,Storm,Weather,G47,T3,170,Tuesday,May,Delayed
FL1129,IndiGo,BLR,HYD,15-07-2024,11:31:43,55,00:26:10,74,166,3178,Cloudy,Technical,G48,T3,110,Tuesday,May,Delayed
FL1130,IndiGo,MAA,DEL,13-09-2024,23:07:13,80,10:44:47,95,351,2355,Rain,Air Traffic,G49,T3,302,Saturday,October,Delayed
FL1131,IndiGo,HYD,BLR,16-02-2025,07:12:47,179,02:33:02,183,186,355,Storm,Late Aircraft,G22,T2,63,Saturday,July,Delayed
FL1132,Akasa Air,HYD,CCU,04-08-2025,09:48:16,27,05:58:16,39,137,3587,Storm,Crew Issue,G2,T1,203,Friday,January,Delayed
FL1133,SpiceJet,DXB,CCU,31-03-2025,09:08:26,13,06:17:38,9,62,1946,Cloudy,Air Traffic,G23,T1,287,Monday,April,On-Time
FL1134,Emirates,DEL,SIN,30-11-2025,00:15:10,106,08:34:59,142,333,2206,Fog,Security,G15,T1,241,Sunday,March,Delayed
FL1135,Emirates,SIN,HYD,23-04-2025,17:15:47,118,23:13:36,144,87,1013,Storm,Air Traffic,G39,T1,322,Friday,July,Delayed
FL1136,Vistara,SIN,DEL,27-10-2025,04:34:56,85,04:29:35,100,185,4932,Fog,Crew Issue,G17,T2,62,Wednesday,November,Delayed
FL1137,Air India,BOM,SIN,23-11-2025,08:20:14,24,06:59:13,17,126,532,Fog,Crew Issue,G45,T3,195,Thursday,May,Delayed
FL1138,Qatar Airways,DXB,SIN,19-03-2026,13:36:32,110,11:40:46,135,170,1793,Cloudy,Weather,G34,T2,160,Monday,June,Delayed
FL1139,IndiGo,HYD,MAA,29-07-2025,11:35:48,7,11:36:38,36,295,2772,Storm,Security,G37,T1,55,Saturday,September,On-Time
FL1140,IndiGo,SIN,BLR,30-03-2026,08:50:51,179,23:04:05,194,285,3814,Rain,Security,G45,T2,278,Friday,August,Delayed
FL1141,IndiGo,SIN,DXB,27-12-2025,02:04:14,120,04:42:57,142,209,2624,Rain,Air Traffic,G6,T3,119,Tuesday,May,Delayed
FL1142,Vistara,SIN,CCU,07-07-2025,14:42:06,111,07:43:30,104,154,4035,Clear,Weather,G9,T3,296,Friday,April,Delayed
FL1143,Akasa Air,MAA,BLR,02-03-2025,14:01:22,130,21:45:37,150,99,4624,Clear,Security,G36,T2,272,Monday,April,Delayed
FL1144,IndiGo,BOM,HYD,24-02-2025,16:07:05,5,15:17:42,0,279,4470,Rain,Crew Issue,G4,T3,183,Wednesday,September,On-Time
FL1145,Qatar Airways,HYD,BLR,25-01-2025,21:06:40,117,04:33:17,155,153,2851,Storm,Crew Issue,G38,T1,111,Thursday,September,Delayed
FL1146,Air India,MAA,HYD,30-06-2024,20:40:50,78,12:59:54,78,85,1441,Cloudy,Security,G4,T3,324,Tuesday,February,Delayed
FL1147,Qatar Airways,HYD,SIN,22-11-2025,04:24:25,19,04:43:55,57,199,4954,Storm,Air Traffic,G1,T3,139,Wednesday,January,Delayed
FL1148,SpiceJet,HYD,DXB,23-10-2024,14:13:35,141,10:20:18,168,352,2217,Cloudy,Security,G11,T3,308,Thursday,March,Delayed
FL1149,Vistara,SIN,HYD,02-10-2024,06:05:54,160,12:00:18,155,237,2339,Fog,Air Traffic,G10,T3,310,Sunday,September,Delayed
FL1150,SpiceJet,DXB,BLR,27-11-2025,17:55:40,150,17:53:39,149,231,2360,Rain,Late Aircraft,G40,T1,179,Friday,July,Delayed
FL1151,Qatar Airways,BLR,SIN,18-09-2024,18:17:27,83,13:16:26,73,160,2676,Storm,Weather,G17,T2,314,Saturday,August,Delayed
FL1152,Emirates,DXB,BLR,26-03-2025,07:58:48,142,09:33:56,155,97,2338,Rain,Crew Issue,G35,T1,143,Tuesday,September,Delayed
FL1153,IndiGo,CCU,SIN,14-02-2026,04:40:23,94,11:22:15,132,128,4327,Storm,Weather,G44,T3,186,Thursday,January,Delayed
FL1154,Qatar Airways,MAA,HYD,22-03-2025,08:43:55,161,06:05:32,162,94,2860,Rain,Weather,G40,T2,109,Sunday,May,Delayed
FL1155,Emirates,CCU,HYD,25-03-2026,10:24:24,63,17:43:06,81,326,1172,Storm,Late Aircraft,G37,T1,319,Sunday,June,Delayed
FL1156,Emirates,DXB,MAA,20-11-2024,10:35:05,59,17:51:19,78,350,3198,Storm,Security,G14,T1,111,Friday,February,Delayed
FL1157,Emirates,BLR,DXB,01-10-2024,15:40:12,131,20:01:39,145,296,1365,Fog,Technical,G25,T3,345,Monday,July,Delayed
FL1158,Emirates,BOM,SIN,31-07-2024,00:50:55,71,11:46:35,99,163,3897,Clear,Crew Issue,G32,T1,228,Saturday,May,Delayed
FL1159,SpiceJet,DEL,BOM,16-07-2024,19:02:13,124,16:37:00,151,82,4970,Clear,Air Traffic,G15,T2,202,Wednesday,July,Delayed
FL1160,Akasa Air,MAA,BOM,03-06-2025,09:14:36,144,18:11:19,166,163,2451,Storm,Security,G39,T3,247,Sunday,March,Delayed
FL1161,IndiGo,MAA,BOM,26-09-2024,21:36:13,133,20:44:47,125,238,2335,Cloudy,Crew Issue,G30,T3,280,Saturday,April,Delayed
FL1162,Air India,SIN,HYD,08-12-2025,15:28:12,154,03:29:07,179,216,2897,Rain,Crew Issue,G33,T3,338,Wednesday,August,Delayed
FL1163,IndiGo,HYD,DXB,16-04-2026,09:44:28,85,13:38:47,76,69,4912,Storm,Air Traffic,G10,T3,167,Friday,March,Delayed
FL1164,SpiceJet,BOM,HYD,10-03-2026,22:08:31,37,09:29:34,39,218,3528,Cloudy,Air Traffic,G8,T3,310,Thursday,December,Delayed
FL1165,Qatar Airways,HYD,BLR,15-06-2024,02:53:44,156,04:24:14,192,232,4525,Fog,Technical,G27,T2,144,Sunday,August,Delayed
FL1166,Vistara,BOM,MAA,09-09-2024,13:15:21,114,17:26:25,139,351,1093,Cloudy,Air Traffic,G43,T3,332,Wednesday,December,Delayed
FL1167,Qatar Airways,HYD,DEL,27-05-2024,22:54:50,68,12:38:29,77,70,3625,Storm,Air Traffic,G10,T1,87,Friday,November,Delayed
FL1168,Emirates,DEL,CCU,16-09-2024,00:43:32,133,06:19:17,130,82,1114,Storm,Air Traffic,G26,T1,267,Friday,June,Delayed
FL1169,Air India,BLR,DXB,26-12-2024,13:49:42,140,16:19:14,169,269,1284,Cloudy,Air Traffic,G33,T3,160,Sunday,December,Delayed
FL1170,IndiGo,MAA,DXB,14-11-2025,18:50:58,103,18:34:44,135,192,3235,Clear,Air Traffic,G37,T2,176,Monday,October,Delayed
FL1171,Air India,CCU,DXB,13-02-2026,19:35:14,105,03:44:39,143,151,3749,Clear,Air Traffic,G9,T2,100,Saturday,July,Delayed
FL1172,Air India,MAA,BOM,26-07-2024,05:29:35,28,19:08:37,31,355,3668,Cloudy,Air Traffic,G22,T3,316,Friday,May,Delayed
FL1173,Qatar Airways,MAA,BLR,11-03-2026,04:38:00,150,20:15:38,140,160,3776,Storm,Air Traffic,G26,T3,159,Sunday,June,Delayed
FL1174,IndiGo,BOM,HYD,24-05-2024,22:20:38,163,03:17:51,175,60,2154,Rain,Technical,G40,T3,198,Saturday,November,Delayed
FL1175,Qatar Airways,DXB,SIN,27-12-2025,16:55:39,174,13:52:40,172,196,501,Cloudy,Air Traffic,G26,T1,340,Sunday,July,Delayed
FL1176,Akasa Air,DEL,BLR,01-03-2025,09:08:15,62,13:17:51,76,149,2422,Clear,Crew Issue,G38,T2,259,Saturday,December,Delayed
